Constraints for GPIO outputs,,
Header,Signal,Package Pin
JA1 Connector,,
JA1,4,IO_0_35,G14
JA1,5,IO_L5P_T0_AD9P_35,E18
JA1,6,IO_L4N_T0_35,D20
JA1,7,IO_L5N_T0_AD9N_35,E19
JA1,8,IO_L4P_T0_35,D19
JA1,11,IO_L6P_T0_35,F16
JA1,12,IO_L1N_T0_AD0N_35,B20
JA1,13,IO_L6N_T0_VREF_35,F17
JA1,14,IO_L1P_T0_AD0P_35,C20
JA1,17,IO_L3P_T0_DQS_AD1P_35,E17
JA1,18,IO_L2N_T0_AD8N_35,A20
JA1,19,IO_L3N_T0_DQS_AD1N_35,D18
JA1,20,IO_L2P_T0_AD8P_35,B19
JA1,23,IO_L15P_T2_DQS_AD12P_35,F19
JA1,24,IO_L18N_T2_AD13N_35,G20
JA1,25,IO_L15N_T2_DQS_AD12N_35,F20
JA1,26,IO_L18P_T2_AD13P_35,G19
JA1,29,IO_L17P_T2_AD5P_35,J20
JA1,30,IO_L16N_T2_35,G18
JA1,31,IO_L17N_T2_AD5N_35,H20
JA1,32,IO_L16P_T2_35,G17
JA1,35,IO_L14P_T2_AD4P_SRCC_35,J18
JA1,36,IO_L13N_T2_MRCC_35,H17
JA1,37,IO_L14N_T2_AD4N_SRCC_35,H18
JA1,38,IO_L13P_T2_MRCC_35,H16
JA2 Connector,,
JA2,4,IO_25_35,J15
JA2,5,IO_L22P_T3_AD7P_35,L14
JA2,6,IO_L24N_T3_AD15N_35,J16
JA2,7,IO_L22N_T3_AD7N_35,L15
JA2,8,IO_L24P_T3_AD15P_35,K16
JA2,11,IO_L23P_T3_35,M14
JA2,12,IO_L19N_T3_VREF_35,G15
JA2,13,IO_L23N_T3_35,M15
JA2,14,IO_L19P_T3_35,H15
JA2,17,IO_L21P_T3_DQS_AD14P_35,N15
JA2,18,IO_L20N_T3_AD6N_35,J14
JA2,19,IO_L21N_T3_DQS_AD14N_35,N16
JA2,20,IO_L20P_T3_AD6P_35,K14
JA2,23,IO_L9P_T1_DQS_AD3P_35,L19
JA2,24,IO_L10N_T1_AD11N_35,J19
JA2,25,IO_L9N_T1_DQS_AD3N_35,L20
JA2,26,IO_L10P_T1_AD11P_35,K19
JA2,29,IO_L8P_T1_AD10P_35,M17
JA2,30,IO_L7N_T1_AD2N_35,M20
JA2,31,IO_L8N_T1_AD10N_35,M18
JA2,32,IO_L7P_T1_AD2P_35,M19
JA2,35,IO_L11P_T1_SRCC_35,L16
JA2,36,IO_L12N_T1_MRCC_35,K18
JA2,37,IO_L11N_T1_SRCC_35,L17
JA2,38,IO_L12P_T1_MRCC_35,K17
JB1 Connector,,
JB1,4,IO_25_34,T19
JB1,5,IO_L1P_T0_34,T11
JB1,6,IO_L2N_T0_34,U12
JB1,7,IO_L1N_T0_34,T10
JB1,8,IO_L2P_T0_34,T12
JB1,11,IO_L6P_T0_34,P14
JB1,12,IO_L4N_T0_34,W13
JB1,13,IO_L6N_T0_VREF_34,R14
JB1,14,IO_L4P_T0_34,V12
JB1,17,IO_L3P_T0_DQS_PUDC_B_34,U13
JB1,18,IO_L5N_T0_34,T15
JB1,19,IO_L3N_T0_DQS_34,V13
JB1,20,IO_L5P_T0_34,T14
JB1,23,IO_L9P_T1_DQS_34,T16
JB1,24,IO_L7N_T1_34,Y17
JB1,25,IO_L9N_T1_DQS_34,U17
JB1,26,IO_L7P_T1_34,Y16
JB1,29,IO_L8P_T1_34,W14
JB1,30,IO_L10N_T1_34,W15
JB1,31,IO_L8N_T1_34,Y14
JB1,32,IO_L10P_T1_34,V15
JB1,35,IO_L11P_T1_SRCC_34,U14
JB1,36,IO_L12N_T1_MRCC_34,U19
JB1,37,IO_L11N_T1_SRCC_34,U15
JB1,38,IO_L12P_T1_MRCC_34,U18
JB2 Connector,,
JB2,4,IO_0_34,R19
JB2,5,IO_L23P_T3_34,N17
JB2,6,IO_L24N_T3_34,P16
JB2,7,IO_L23N_T3_34,P18
JB2,8,IO_L24P_T3_34,P15
JB2,11,IO_L20P_T3_34,T17
JB2,12,IO_L19N_T3_VREF_34,R17
JB2,13,IO_L20N_T3_34,R18
JB2,14,IO_L19P_T3_34,R16
JB2,17,IO_L21P_T3_DQS_34,V17
JB2,18,IO_L22N_T3_34,W19
JB2,19,IO_L21N_T3_DQS_34,V18
JB2,20,IO_L22P_T3_34,W18
JB2,23,IO_L15P_T2_DQS_34,T20
JB2,24,IO_L18N_T2_34,W16
JB2,25,IO_L15N_T2_DQS_34,U20
JB2,26,IO_L18P_T2_34,V16
JB2,29,IO_L16P_T2_34,V20
JB2,30,IO_L17N_T2_34,Y19
JB2,31,IO_L16N_T2_34,W20
JB2,32,IO_L17P_T2_34,Y18
JB2,35,IO_L14P_T2_SRCC_34,N20
JB2,36,IO_L13N_T2_MRCC_34,P19
JB2,37,IO_L14N_T2_SRCC_34,P20
JB2,38,IO_L13P_T2_MRCC_34,N18
JC1 Connector,,
JC1,4,IO_L6N_T0_VREF_13,V5
JC1,5,IO_L11P_T1_SRCC_13,U7
JC1,6,IO_L12N_T1_MRCC_13,U10
JC1,7,IO_L11N_T1_SRCC_13,V7
JC1,8,IO_L12P_T1_MRCC_13,T9
JC1,11,IO_L19P_T3_13,T5
JC1,12,IO_L20N_T3_13,Y13
JC1,13,IO_L19N_T3_VREF_13,U5
JC1,14,IO_L20P_T3_13,Y12
JC1,17,IO_L21P_T3_DQS_13,V11
JC1,18,IO_L22N_T3_13,W6
JC1,19,IO_L21N_T3_DQS_13,V10
JC1,20,IO_L22P_T3_13,V6
JC1,23,IO_L15P_T2_DQS_13,V8
JC1,24,IO_L18N_T2_13,Y11
JC1,25,IO_L15N_T2_DQS_13,W8
JC1,26,IO_L18P_T2_13,W11
JC1,29,IO_L17P_T2_13,U9
JC1,30,IO_L16N_T2_13,W9
JC1,31,IO_L17N_T2_13,U8
JC1,32,IO_L16P_T2_13,W10
JC1,35,IO_L14P_T2_SRCC_13,Y9
JC1,36,IO_L13N_T2_MRCC_13,Y6
JC1,37,IO_L14N_T2_SRCC_13,Y8
JC1,38,IO_L13P_T2_MRCC_13,Y7
